Time (s),Position X (px),Position Y (px)
18.659,3.02,0.19
18.717,3.18,0.50
18.789,3.18,0.52
18.825,3.18,0.52
18.859,3.55,0.66
18.924,4.18,0.71
18.955,4.38,0.82
19.001,4.22,0.67
19.025,3.97,0.92
19.092,3.78,0.93
19.158,4.21,1.12
19.196,3.92,1.29
19.226,4.26,1.00
19.291,3.40,1.11
19.322,3.08,1.18
19.366,3.41,0.92
19.424,2.91,0.56
19.455,2.66,0.33
19.523,2.58,0.04
19.589,2.90,-0.30
19.621,2.98,-0.53
19.693,2.70,-0.38
19.720,2.63,-0.41
19.796,2.76,-0.43
19.865,2.88,-0.49
19.923,3.03,-0.66
19.959,2.91,-0.68
19.999,3.51,-0.98
20.027,3.37,-1.01
20.072,3.58,-1.03
20.115,3.49,-1.08
20.178,3.19,-1.41
20.204,2.99,-1.44
20.239,3.12,-1.46
20.296,3.05,-1.41
20.326,2.74,-1.34
20.364,2.75,-1.27
20.403,3.05,-1.32
20.467,3.14,-1.33
20.497,3.36,-1.28
20.562,3.19,-1.42
20.594,3.24,-1.40
20.646,3.12,-1.50
